UC,Distance_to_River_km
Chak No. 760,39.0
Chak No. 681,53.34
Water Works,17.49
Pura Heeran,13.5
Shohabpura,14.76
Naikapura,12.61
Ahmadpura,16.35
Muzafferpur,13.76
Muhammad Pur,11.34
Moh. Shah Sy,15.33
Model Town,12.45
Mianapura,10.15
Imam Sahib,8.95
Karimpura,11.38
Kotli Behram,14.27
Hajipura,12.68
Habibpura,10.18
Sehna,41.64
Hajiwala,27.74
Uggoki,2.34
Talwara,16.79
Syedan Wali,21.45
Sheehni (sha,1.87
Roras,3.33
Rasoolpur,25.27
Pindi Khokha,6.71
Pindi Arayan,19.16
Pelora Kalan,8.55
Parag Pur,19.74
Moolgarh,12.49
Momman Kalan,5.78
Miani,14.04
Langriali,19.11
Kulloowal,11.4
Kotli Lohara,6.5
Kharota Sayy,1.78
Kammanwala,12.23
Jaurian Kala,0.56
Hundal,25.4
Chaprar,4.03
Godhpur,7.21
Garhi,28.84
Doburji Aray,23.11
Daluwali,17.17
Charind,18.04
Gondal,6.49
Bherath,9.38
Bhagowal Awa,0.86
Baonkan,28.69
Baonkan,10.28
Ballan Wala,4.77
Adalat Garha,6.47
Gurhi,7.82
Talwandi Ina,60.78
Takhtpur,66.7
Saukan Wand,71.0
Qila Kalar W,67.29
Pindi Bhago,54.56
Pejoke,59.58
Musapur,53.15
Pasroor - 2,58.18
Pasroor - 1,54.73
Mali Pur,47.31
Klaswala,63.47
Kingra,46.39
Dohlam,48.37
Kapoor Pur,57.13
Jassoran,41.15
Gadgoor,38.78
Khanan Wali,42.65
Chobara,46.88
Chehoor,54.87
Chawinda,49.31
Bun Bajwa,44.15
Balaggan,57.49
Badiana,35.69
Adamke Nagra,34.8
Wadala Sindh,45.04
Veerowala,10.15
Sehjo Kala,19.37
Satrah,48.45
Saran Wali,52.88
Sambrial - 2,5.8
Sambrial - 1,4.82
Salhoke,40.17
Sahowala,2.15
Randheer,11.38
Rajeh Ghuman,33.07
Peero Chak,28.35
Mitran Wali,5.07
Malo Meh,33.36
Malkhanwala,2.3
Kopra Uncha,6.86
Kanwan Lit,36.15
Kandan Siyan,1.09
Jharthan Wal,44.77
Jethike,6.14
Jamke Cheema,3.64
Habibpura,10.73
Gojra,13.48
Goindke,25.42
Glotian Khur,22.81
Glotian Kala,30.16
Ghoinke,11.74
Daska - 4,29.05
Daska - 5,28.69
Daska - 3,26.28
Daska - 2,25.16
Daska - 1,23.49
Buddha Goray,41.31
Bogray,32.73
Bhopal Wala,0.28
Bhagatpur,55.19
Balaggan,3.26
Baigowala,2.09
Baddoke,0.62
Alo Mahar,5.37
Akbar,37.36
Adamke Cheem,20.27
Waraichan Wa,27.68
Thikarian,33.11
Sikriyali,27.49
Panjan Kissa,46.12
Noonanwali,52.63
Mirza Tahir,58.86
Marala,54.69
Malkah,55.66
Langrial,45.62
Lala Musa -,26.54
Lala Musa -,29.78
Lala Musa -,30.25
Lala Musa -,32.68
Kotla Qasim,25.69
Kotla Arab A,45.47
Khawas Pur,28.29
Kharian,51.01
Kaulian Shah,33.46
Karnana,28.47
Jaura,33.16
Haji Muhamma,20.79
Gunjah,37.95
Guliana,52.45
Fateh Bhand,46.52
Dinga - 2,31.77
Dinga - 1,33.54
Dhoria,56.85
Chikori Bhal,21.02
Chakori Sher,22.75
Chak Miana,38.8
Chak Jani,38.4
Bhagwal,55.7
Bhaddar,38.82
Barnali,42.76
Baharwal,44.08
Bagrianwala,19.5
Amra Kalan,34.77
Achh,46.97
Simbli,65.01
Khokhar,60.33
Sarai Alamgi,63.94
Bhag Nagar,66.8
Besa Khurd,63.64
Thatha Musas,5.01
Saroki,9.48
Sabowal,13.72
Peeroo Shah,37.76
Surkhpur,8.17
Nagianwala,13.04
Chechian,13.67
Moinuddin Pu,10.64
Chopala,7.39
Gakhra Kalan,17.56
Mandiala,2.74
Madina,14.22
Machhiwal,25.95
Machhiana,14.81
Langay,3.19
Kunjah,9.53
Kathala,1.03
Karian Wala,27.22
Jhewran Wali,7.46
Jaura,18.3
Jalalpur Jat,12.64
Ikhlas Garh,14.93
Shadiwal,3.2
Fatehpur,23.5
Dogah,21.94
Daulat Nagar,29.65
Daulat Nagar,33.19
Coleki,3.09
Bhagowal Kal,16.67
Chak Sada,2.16
